id;escola;coordenadoria_id;turno;escola_id;serie;turno_id
111;EETI Nossa Senhora Das Gracas;3;Vespertino;42;;
112;EE Jose Bentes Monteiro;3;Noturno;42;;
113;EE Simon Bolivar;3;Matutino;43;;
114;Ceja Prof. Agenor Ferreira Lima;3;Vespertino;43;;
115;EE Amelia Bittencourt Cardinale;4;Noturno;43;;
116;EE Benjamin Magalhaes Brandao;4;Matutino;44;;
117;EE Duque de Caxias;4;Vespertino;44;;
118;EE Senador Flavio da Costa Brito;4;Noturno;44;;
119;EE Julia Bittencourt;4;Matutino;45;;
120;EE Pe Pedro Gislandy;4;Vespertino;45;;
121;EE Waldemiro Peres Lustoza;4;Noturno;45;;
122;EE Joao Bosco Pantoja Evangelista;4;Matutino;46;;
123;EE Coronel Pedro Camara;4;Vespertino;46;;
124;EE Fueth Paulo Mourao;4;Noturno;46;;
125;EE General Sampaio;4;Matutino;47;;
126;EE Isaac Benayon Sabba;4;Vespertino;47;;
127;EE Presidente Castelo Branco;4;Noturno;47;;
128;EETI Zulmira Bittencourt;4;Matutino;48;;
129;EE Agnello Bittencourt;4;Vespertino;48;;
130;CETI Aurea Pinheiro Braga;4;Noturno;48;;
131;EETI Liberalina Weill;4;Matutino;49;;
132;EETI Governador Melo Povoas;4;Vespertino;49;;
133;EE Santo Antonio;4;Noturno;49;;
134;EE Antonio Bittencourt;4;Matutino;50;;
135;EE Joanna Rodrigues Vieira;4;Vespertino;50;;
136;EE Nª Sª da Gloria;4;Noturno;50;;
137;EETI Marques de Santa Cruz;4;Matutino;51;;
138;EE Olavo Bilac;4;Vespertino;51;;
139;EE Pedro Silvestre;4;Noturno;51;;
140;EE Sao Luiz de Gonzaga;4;Matutino;52;;
141;EE Marechal Hermes;4;Vespertino;52;;
142;EETI Irma Adonai Politi;4;Noturno;52;;
143;EE Antonio da Encarnacao Filho;4;Integral;53;;
144;EE Prof. Jose Ribamar da Costa;4;Matutino;54;;
145;EE Itacyara Nogueira Pinho;4;Vespertino;54;;
146;EE Alfredo Fernandes;4;Noturno;54;;
147;EE Samsung Amazonas;4;Integral;55;;
148;EE Profa. Bernardete do Socorro Trindade da Rocha;5;Matutino;56;;
149;EE Dr Isaac Sverner;5;Vespertino;56;;
150;EE Dom Jacson Damasceno Rodrigues;5;Noturno;56;;
151;EE Roderick de Castello Branco;5;Matutino;57;;
152;EE Ernesto Penafort;5;Vespertino;57;;
153;EE Prof. Jorge Karam Neto;5;Noturno;57;;
154;EE Prof. Rofran Belchior da Silva;5;Integral;58;;
155;EE Gilberto Mestrinho;5;Matutino;59;;
156;EE Manuel Antonio de Souza;5;Vespertino;59;;
157;EE Jairo da Silva Rocha;5;Noturno;59;;
158;EE Prof. Ernane Nascimento Simao;5;Matutino;60;;
159;EE Aurea Pinheiro Braga;5;Vespertino;60;;
160;EETI Irma Gabrielle Cogels;5;Noturno;60;;
161;Anexo da EE Irma Gabrielle Cogels;5;Integral;61;;
162;EE Prof. Aristoteles Comte de Alencar;5;Matutino;62;;
163;EE Cacilda Braule Pinto;5;Vespertino;62;;
164;EE Dep Josue Claudio de Souza;5;Integral;62;;
165;EETI Profa Maria Arminda Guimaraes de Andrade;5;Matutino;63;;
166;EE Profa. Myrthes Marques Trigueiro;5;Vespertino;63;;
167;EE Prof. Reinaldo Thompson;5;Noturno;63;;
168;EE Prof. Antonio Maurity Monteiro Coelho;5;Matutino;64;;
169;EE Maria Teixeira Goes;5;Vespertino;64;;
170;EE Padre Luis Ruas;5;Noturno;64;;
171;EE Antonio Nunez Jimenez;5;Integral;65;;
172;EETI Maria Madalena Santana de Lima;5;Matutino;66;;
173;EE Rilton Leal Filho;5;Vespertino;66;;
174;EE Manuel Rodrigues de Souza;5;Noturno;66;;
175;EE Benedito Almeida;5;Matutino;67;;
176;EE Vasco Vasques;5;Vespertino;67;;
177;EE Prof. Cleomenes do Carmo Chaves;5;Noturno;67;;
178;EE Prof. Demostenes Belduque Araujo Travessa;5;Matutino;68;;
179;EE Profa. Cecilia Ferreira da Silva;5;Vespertino;68;;
180;CETI Elisa Bessa Freire;5;Noturno;68;;
181;CETI Profa. Cinthia Regia Gomes Do Livramento;5;Matutino;69;;
182;CETI Eng. Prof. Sergio Alfredo Pessoa Figueiredo;5;Vespertino;69;;
183;Anexo da EE Prof Cleomenes Do Carmo Chaves III;5;Noturno;69;;
184;EE Elira Pinheiro;6;Integral;70;;
185;EE Leticio de Campos Dantas;6;Matutino;71;;
186;EE Profa. Wilma Vitoriano Geber;6;Vespertino;71;;
187;EE Frei Mario Monacelli;6;Noturno;71;;
188;EE D. Milton Correa Pereira;6;Matutino;72;;
189;EE Profa. Lenina Ferraro da Silva;6;Vespertino;72;;
190;EE Profa. Hilda de Azevedo Tribuzy;6;Noturno;72;;
191;EE Senador Joao Bosco Ramos de Lima;6;Matutino;73;;
192;EE Desembargador Andre Vidal de Araujo;6;Vespertino;73;;
193;EE Dom Joao de Souza Lima;6;Noturno;73;;
194;EE Dr Jose Milton Bandeira;6;Matutino;74;;
195;EE Francisca de Paula de Jesus Izabel;6;Vespertino;74;;
196;EE Homero de Miranda Leao;6;Noturno;74;;
197;EETI Maria do Ceu Vaz D'Oliveira;6;Matutino;75;;
198;EETI Cid Cabral da Silva;6;Vespertino;75;;
199;EE Profa. Sebastiana Braga;6;Noturno;75;;
200;EETI Marcantonio Vilaca;6;Matutino;76;;
201;EE Prof. Julio Cesar de Moraes Passos;6;Vespertino;76;;
202;EE Profa. Ruth Prestes Goncalves;6;Noturno;76;;
203;EE Raio de Sol;6;Integral;77;;
204;EE Marcantonio Vilaca Ii;6;Matutino;78;;
205;EE Engº Arthur Amorim;6;Vespertino;78;;
206;EE Osmar Pedrosa;6;Noturno;78;;
207;EE Prof. Jose Bernardino Lindoso;6;Matutino;79;;
208;EE Prof. Juracy Batista Gomes;6;Vespertino;79;;
209;EE Belarmino Marreiro;6;Noturno;79;;
210;EE Raimunda Holanda de Souza;6;Integral;80;;
211;EE Prof. Waldocke Fricke de Lyra;7;Matutino;81;;
212;CETI Prof. Garcitylzo Do Lago E Silva;7;Vespertino;81;;
213;EE Profa. Karla Patricia Barros de Azevedo;7;Noturno;81;;
214;EE Inspetora Dulcineia Varela Moura;7;Matutino;82;;
215;EE Arlindo Vieira dos Santos;7;Vespertino;82;;
216;Anexo da EE Arlindo Vieira dos Santos - I;7;Noturno;82;;
217;EETI Rafaiel Henrique Pinheiro dos Santos;7;Matutino;83;;
218;EE Profa. Ana Lucia de Moraes Costa E Silva;7;Vespertino;83;;
219;CETI Dra Zilda Arns Neumann;7;Noturno;83;;
220;EE Eliana Socorro Pacheco Braga;7;Matutino;84;;
221;EE Profa. Eliana de Freitas Morais;7;Vespertino;84;;
222;EE Senador Evandro Das Neves Carreira;7;Noturno;84;;
223;CETI Dariana Zuleica Correa Lopes;7;Matutino;85;;
224;CETI Joao Dos Santos Braga;7;Vespertino;85;;
225;EETI Profa. Lecita Fonseca Ramos;7;Noturno;85;;
226;EE Antogildo Pascoal Viana;7;Matutino;86;;
227;EE Sebastiao Noroes;7;Vespertino;86;;
228;EE Prof. Dorval Varela Moura;7;Noturno;86;;
229;EE Ernesto Pinho Filho;7;Integral;87;;
230;EE Prof. Samuel Benchimol;7;Matutino;88;;
231;EE Prof. Ruy Alencar;7;Vespertino;88;;
232;EE Prof. Roberto dos Santos Vieira;7;Noturno;88;;
233;EE Prof. Sebastiao Augusto Loureiro Filho;7;Matutino;89;;
234;EE Profa. Tereza Siqueira Tupinamba;7;Vespertino;89;;
235;EE Profa. HaydEE Cabral Lyra;7;Noturno;89;;
236;EE Senador Jefferson Carpinteiro Peres;7;Matutino;90;;
237;EE Ayrton Senna;7;Vespertino;90;;
238;EE Ana Neire Marques da Silva;7;Noturno;90;;
239;EE Dra Zilda Arns Neumann;7;Integral;91;;
240;Centro Educacional Arthur Virgilio Filho;7;Integral;92;;
241;EE Prof. Octavio Mourao;7;Matutino;93;;
242;Anexo da EE Ayrton Senna;7;Vespertino;93;;
243;EE Prof. Gilberto Mestrinho;8;Noturno;93;;
244;EE Prof. Johannes Petrus;8;Integral;94;;
245;EE Senador Fabio Lucena;8;Matutino;95;;
246;EE Amatura;9;Vespertino;95;;
247;EE Indigena Manuel Joaquim Saldanha Filho Tchaiareecu;9;Noturno;95;;
248;EE Duque de Caxias;10;Matutino;96;;
249;EE Jesuina Regis;10;Vespertino;96;;
250;EE Maria Nogueira Marques;10;Noturno;96;;
251;EE Tancredo Neves;10;Matutino;97;;
252;EE Alcinda Pinheiro Costa;10;Vespertino;97;;
253;EE Almerinda Nogueira Uchoa Izel;11;Noturno;97;;
254;EE Eurico Gaspar Dutra;11;Matutino;98;;
255;EETI Presidente Costa E Silva;11;Vespertino;98;;
256;EE Prof. Gilberto Mestrinho;12;Noturno;98;;
257;EE Profa. Maria Curtarelli Lira;12;Matutino;99;;
258;EE Carmozina Baima de Almeida;13;Vespertino;99;;
259;EE Pio Veiga;13;Noturno;99;;
260;EE Profa. Tereza Lemos de Oliveira Santos;13;Integral;100;;
261;EE Marechal Castello Branco;13;Matutino;101;;
262;EE Tenente Rufino;13;Vespertino;101;;
263;EE Izaura Torres da Silva;14;Noturno;101;;
264;EE Raymundo Sa;14;Matutino;102;;
265;EE Vidal Gomes de Melo;14;Vespertino;102;;
266;EE Maria Emilia Martins Mestrinho de Medeiros Raposo;14;Noturno;102;;
267;EE Pedro Santarem Penalber;14;Matutino;103;;
268;EE Novo Ceu;14;Vespertino;103;;
269;Anexo da EE Raymundo Sa;14;Noturno;103;;
